Number of iterations to find maximum flow
Trial	Vertices	Edges		Arbitrary	Fattest		Minimum
1	10		25		0		0		0		
2	10		50		6		4		7		
3	10		100		9		7		16		
4	100		1000		19		8		65		
5	100		5000		99		50		954		
6	100		10000		199		92		2347		
7	250		5000		22		12		198		
8	250		20000		150		82		2183		
9	250		62500		536		237		8673		
Max flow
Trial	Vertices	Edges		Arbitrary	Fattest		Minimum
1	10		25		0.0		0.0		0.0		
2	10		50		64.0		64.0		64.0		
3	10		100		196.0		196.0		196.0		
4	100		1000		265.0		265.0		265.0		
5	100		5000		2057.0		2057.0		2057.0		
6	100		10000		4481.0		4481.0		4481.0		
7	250		5000		433.0		433.0		433.0		
8	250		20000		3660.0		3660.0		3660.0		
9	250		62500		12105.0		12105.0		12105.0		
Time (ms)
Trial	Vertices	Edges		Arbitrary	Fattest		Minimum
1	10		25		12		6		0		
2	10		50		0		1		2		
3	10		100		1		1		2		
4	100		1000		4		5		53		
5	100		5000		40		48		497		
6	100		10000		58		61		586		
7	250		5000		5		14		227		
8	250		20000		43		125		350		
9	250		62500		39		679		540		
